method,domain,P@10_mean,P@10_std,R@10_mean,R@10_std,n_jobs
keyword,Data Science,0.2683333333333333,0.34210844651297123,0.06708333333333333,0.08552711162824281,660
keyword,Hadoop,0.054848484848484855,0.16878789901394894,0.013059163059163059,0.04018759500332117,660
tfidf,Data Science,0.6222727272727273,0.38720544810555874,0.15556818181818183,0.09680136202638968,660
tfidf,Hadoop,0.05303030303030303,0.15476223574063752,0.012626262626262624,0.03684815136681845,660
sbert,Data Science,0.506969696969697,0.382880900022887,0.12674242424242424,0.09572022500572175,660
sbert,Hadoop,0.21181818181818182,0.3038643829903456,0.05043290043290042,0.07234866261674897,660
