method,domain,P@10_mean,P@10_std,R@10_mean,R@10_std,n_jobs
keyword,Data Science,0.7515151515151515,0.2773396400554877,0.18787878787878787,0.06933491001387193,660
keyword,Hadoop,0.24848484848484848,0.2773396400554877,0.05916305916305916,0.06603324763225898,660
tfidf,Data Science,0.7906060606060605,0.28429226229933524,0.19765151515151513,0.07107306557483381,660
tfidf,Hadoop,0.20939393939393938,0.2842922622993352,0.049855699855699855,0.06768863388079409,660
sbert,Data Science,0.6824242424242424,0.33309174120785695,0.1706060606060606,0.08327293530196424,660
sbert,Hadoop,0.3175757575757576,0.33309174120785695,0.0756132756132756,0.07930755743044214,660
